Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
Éverson;Atlético Mineiro;Atlético Mineiro;GK;32;3000000;2025-12-31;45;4492;0;0;0;0,25;0,54;85,19;Brazil;Brazil;direito;192;86;sim;1,22;0,04;50;0,4;85;0,04;0,06;0;1,16;1,75;0;2;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;100;0;0;0,02;14,02;0,3;0,1;23,48;88,65;13,24;81,39;0,02;100;9,48;98,31;15,73;98,47;7,71;69,09;29,92;46,87;0;0,02;0;0;0;0;0,02;1,28;48,44;0,06;0;0,1;40;0;0;5,99;73,91;48;0,96;163;3,27;16;70,55;46,03;0,92;-1,97;-0,039;0;1,74;0,4;;;;0;0;0
João Paulo;Santos;Santos;GK;27;7000000;2026-12-31;43;4273;0;0;0;0;1,01;83,33;Brazil;Brazil;direito;189;86;sim;1,03;0,13;50;0,72;88,24;0,02;0,03;0;0,95;1,19;0;6;0,13;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;100;0,11;80;0;0;0;8,11;0,11;0,08;14,07;85,93;8;78,16;0,04;50;5,39;97,66;9,27;97,5;4,8;63,6;31,1;48,53;0;0;0;0;0;0;0;1,18;55,36;0,06;66,67;0,08;50;0,04;0;3,58;74,71;38;0,8;195;4,11;17;80,51;50,5;1,06;12,5;0,263;0;1,79;0,72;;;;0;0;0
Cleiton;Red Bull Bragantino;Red Bull Bragantino;GK;25;5500000;2024-12-31;43;4262;0;0;0;0;0,82;79,49;Brazil;Brazil;direito;186;80;sim;2,01;0,13;50;0,4;78,95;0;0;0;1,94;2,57;0,02;4;0,08;0;0;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;100;0,23;90,91;0;0;0,02;14,3;0,17;0,27;22,26;80,83;13,07;72,7;0,02;0;8,47;93,27;12,08;94,93;10,11;64,51;35,81;49,45;0;0;0;0;0;0;0;2,7;50,78;0,21;10;0,17;37,5;0;0;7,14;72,78;54;1,14;198;4,18;12;72,73;57,06;1,2;3,06;0,065;0;1,77;0,4;;;;0;0;0
Eduardo Bauermann;Santos;Santos;LCB;26;3000000;2024-12-31;42;4151;2;2,5;1;0;14,22;62,5;Brazil;Brazil;direito;186;85;sim;8,67;5,07;71,37;5,07;55,98;0,17;0,23;0,85;4,88;6,4;0,54;6;0,13;0;0;0,46;0,04;2;0,04;0,05;2;0,04;18;0,39;50;11,111;0,02;0,02;100;0;0;0,02;100;0;0,28;84,62;1,43;65,15;0,61;0,41;0,07;22,68;0,26;0,74;34,69;88,88;14,7;80,97;1,95;96,67;14,33;95,92;30,94;92,78;3,73;56,4;19,79;32,32;0;0;0;0;0;0;0;3,1;74,13;0,15;28,57;0,11;20;0,07;0,02;5,55;67,19;0;;0;;0;0;0;0;;;1,63;;;0;0;0;0;0;0
Cássio;Corinthians;Corinthians;GK;35;1500000;2024-12-31;41;4034;0;0;0;0;0,71;90,63;Brazil;Brazil;direito;196;92;sim;1,14;0,04;100;0,56;92;0;0;0;1,09;1,49;0;2;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07;66,67;0;0;0;7,94;0,11;0,13;14,7;87,41;7,12;75,86;0;0;7,12;98,75;10;98,21;4,69;64,76;32,37;48,61;0;0;0,02;0;0;0;0;1,03;43,48;0,02;0;0,07;0;0;0;3,37;74,17;37;0,83;166;3,7;15;77,71;41,31;0,92;4,31;0,096;0;1,54;0,56;;;;0;0;0
Juninho;América Mineiro;América Mineiro;RCMF, LCMF;34;500000;2023-12-31;42;4016;4;5,17;3;3,67;17,14;44,18;Brazil;Brazil;direito;170;66;sim;7,1;5,45;61,32;2,35;29,52;0,07;0,09;0,4;3,7;4,71;0,94;5;0,11;0;0;2,26;0,09;4;0,09;0,12;3;0,07;32;0,72;56,25;12,5;0,07;1,28;38,6;0,52;43,48;0,76;35,29;0,22;2,4;50,47;6,61;39,32;2,15;1,17;0,56;19,47;0,63;1,03;30,61;78,92;11,43;70,98;3,88;89,6;9,82;84,02;27;82,82;2,35;55,24;17,28;29,43;0,08;0,76;0;0;0,49;31,82;0,34;4,95;73,3;1,64;52,05;0,52;21,74;0,67;0,45;4,86;80,65;0;;0;;0;0;0;0;;;0,25;;;0;0;0;0,04;0;0
Éder Ferreira;América Mineiro;América Mineiro;LCB, RCB;27;1400000;2024-12-31;41;3994;0;1,71;3;0,26;10,7;59,16;Brazil;Brazil;direito;184;82;sim;8,45;4,51;60,5;3,81;62,13;0,02;0,03;0,79;5,7;7,1;1,15;11;0,25;0;0;0,38;0;0;0;0,04;0;0;15;0,34;33,33;0;0,07;0,05;50;0,02;100;0,02;0;0;0,29;61,54;0,74;48,48;0,38;0,61;0,16;21,9;0,41;0,2;33,71;85,63;15,8;76,03;1,46;95,38;13,77;94,93;26,48;93,11;7,19;58,31;23,58;39,22;0,01;0,09;0;0,05;0,16;42,86;0,07;4,71;70,81;0,38;47,06;0,32;42,86;0,16;0,02;7,95;69,41;0;;0;;0;0;0;0;;;1,1;;;0;0;0;0;0;0
João Ricardo;Ceará;Ceará;GK;34;350000;2022-12-31;39;3948;0;0;0;0;0,64;82,14;Brazil;Brazil;direito;186;78;sim;1,25;0,05;100;0,52;86,96;0;0;0;1,21;1,71;0;9;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;100;0;0;0,02;9,69;0,14;0,05;16,09;84,28;9,78;76,92;0;0;6;96,58;9,46;97,83;6,59;65,4;34,5;47,65;0;0;0;0;0;0;0;1,85;51,85;0,07;0;0,11;20;0;0;4,92;75,93;38;0,87;178;4,06;12;78,65;48,84;1,11;10,84;0,247;0;1,53;0,52;;;;0;0;0
Marcelo Benevenuto;Fortaleza;Fortaleza;CB, RCB;26;2000000;2026-12-31;40;3907;1;2,44;1;0,2;12,07;58,4;Brazil;Brazil;direito;180;73;sim;7,9;4,05;62,5;4,51;57,65;0,25;0,34;0,46;5,11;6,8;0,76;9;0,21;0;0;0,78;0,02;1;0,02;0,06;1;0,02;17;0,39;58,82;5,882;0,02;0,12;40;0;0;0,12;40;0;0,64;71,43;1,57;51,47;0,58;0,32;0,14;18,38;0,23;0,6;30,04;86,96;11,54;73,05;1,73;98,67;14,28;97,42;25,82;92,15;4,1;55,62;21,39;33,32;0;0,05;0,02;0;0,07;66,67;0,07;2,56;66,67;0,37;37,5;0,3;30,77;0,14;0,05;4,77;65,7;0;;0;;0;0;0;0;;;1,41;;;0;0;0;0;0;0
Walter;Cuiabá;Cuiabá;GK;34;300000;2022-12-31;39;3854;0;0;0;0;0,75;90,63;Brazil;Brazil, Italy;direito;188;82;sim;1,24;0,05;50;0,51;95,45;0;0;0;1,21;1,48;0;2;0,05;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;50;0,09;75;0;0;0;8,03;0,16;0,09;14,69;87,28;8,34;80,39;0,02;0;5,88;97,22;8,52;98,08;6,14;72,62;34,36;47,09;0;0;0;0;0;0;0;1,28;60;0;0;0;0;0;0;4,37;83,42;36;0,84;171;3,99;14;78,95;41,71;0,97;5,71;0,133;0;1,52;0,51;;;;0;0;0
